run_id,timestamp,kind,window,temp_c,sm_clock_mhz,power_w,util_gpu_pct,mem_used_mib
cold_true_0,,cold,0,59.0,2100.0,42.08,21.0,3759.0
cold_true_1,,cold,0,60.0,2055.0,43.18,3.0,3759.0
cold_true_2,,cold,0,57.0,1395.0,33.26,99.0,3759.0
comparator_reference,,comparator,0,58.0,2610.0,44.32,56.0,1339.0
comparator_reference,,comparator,1,59.0,2250.0,48.71,86.0,1469.0
comparator_reference,,comparator,2,59.0,2220.0,48.28,72.0,1469.0
longrun_dense_control,,longrun,6,61.0,2055.0,48.27,75.0,3733.0
longrun_dense_control,,longrun,7,61.0,2070.0,49.57,91.0,3733.0
longrun_dense_control,,longrun,8,61.0,2085.0,49.99,98.0,3733.0
longrun_dense_control,,longrun,9,61.0,2010.0,47.96,98.0,3733.0
longrun_dense_control,,longrun,10,61.0,2055.0,49.03,97.0,3733.0
longrun_dense_control,,longrun,11,61.0,2070.0,47.08,62.0,3733.0
longrun_dense_control,,longrun,12,61.0,2070.0,48.98,84.0,3733.0
longrun_dense_control,,longrun,13,61.0,2070.0,49.55,90.0,3733.0
longrun_dense_control,,longrun,14,62.0,2520.0,49.69,94.0,3733.0
longrun_dense_control,,longrun,15,62.0,1920.0,49.79,99.0,3733.0
longrun_dense_control,,longrun,16,61.0,2070.0,49.76,98.0,3733.0
longrun_dense_control,,longrun,17,61.0,2085.0,48.09,95.0,3733.0
longrun_dense_control,,longrun,18,61.0,2055.0,49.16,99.0,3733.0
longrun_dense_control,,longrun,19,61.0,2025.0,49.31,98.0,3733.0
longrun_dense_control,,longrun,20,61.0,2100.0,48.89,99.0,3733.0
longrun_dense_control,,longrun,21,61.0,2055.0,49.83,99.0,3733.0
longrun_dense_control,,longrun,22,58.0,2370.0,49.71,98.0,3733.0
longrun_dense_control,,longrun,23,61.0,2055.0,49.93,98.0,3733.0
longrun_dense_control,,longrun,24,60.0,2070.0,47.42,59.0,3733.0
longrun_dense_control,,longrun,25,59.0,2100.0,48.3,78.0,3733.0
longrun_dense_control,,longrun,26,60.0,2115.0,48.76,80.0,3733.0
longrun_dense_control,,longrun,27,60.0,1980.0,48.5,77.0,3733.0
longrun_dense_control,,longrun,28,59.0,2115.0,49.15,93.0,3733.0
longrun_dense_control,,longrun,29,59.0,2070.0,49.65,93.0,3733.0
warm_b1_rep0,,warm,0,59.0,2070.0,48.49,77.0,3733.0
warm_b1_rep0,,warm,1,60.0,2475.0,49.74,98.0,3733.0
warm_b1_rep0,,warm,2,60.0,2055.0,47.94,99.0,3733.0
warm_b1_rep0,,warm,3,60.0,2085.0,49.19,90.0,3733.0
warm_b1_rep0,,warm,4,60.0,2070.0,49.99,98.0,3733.0
warm_b1_rep0,,warm,5,60.0,2085.0,49.08,99.0,3733.0
warm_b1_rep0,,warm,6,61.0,2145.0,50.05,98.0,3733.0
warm_b1_rep0,,warm,7,61.0,2100.0,48.15,72.0,3733.0
warm_b1_rep0,,warm,8,61.0,2115.0,49.57,99.0,3733.0
warm_b1_rep0,,warm,9,61.0,2085.0,47.26,95.0,3733.0
warm_b1_rep0,,warm,10,61.0,2115.0,49.13,87.0,3733.0
warm_b1_rep0,,warm,11,60.0,2100.0,48.15,73.0,3733.0
warm_b1_rep1,,warm,0,72.0,2610.0,96.64,99.0,3733.0
warm_b1_rep1,,warm,1,73.0,2610.0,96.99,98.0,3733.0
warm_b1_rep1,,warm,2,73.0,2610.0,23.08,84.0,3733.0
warm_b1_rep1,,warm,3,73.0,2610.0,95.1,99.0,3733.0
warm_b1_rep1,,warm,4,73.0,2610.0,96.89,99.0,3733.0
warm_b1_rep1,,warm,5,73.0,2610.0,96.93,99.0,3733.0
warm_b1_rep1,,warm,6,73.0,2610.0,97.09,99.0,3733.0
warm_b1_rep1,,warm,7,73.0,2610.0,97.19,99.0,3733.0
warm_b1_rep1,,warm,8,73.0,2610.0,97.11,99.0,3733.0
warm_b1_rep1,,warm,9,73.0,2610.0,97.03,99.0,3733.0
warm_b1_rep1,,warm,10,73.0,2610.0,97.04,99.0,3733.0
warm_b1_rep1,,warm,11,73.0,2610.0,97.19,99.0,3733.0
warm_b1_rep2,,warm,0,60.0,2010.0,49.85,97.0,3733.0
warm_b1_rep2,,warm,1,59.0,2070.0,47.89,98.0,3733.0
warm_b1_rep2,,warm,2,60.0,2025.0,47.65,72.0,3733.0
warm_b1_rep2,,warm,3,61.0,2115.0,48.5,98.0,3733.0
warm_b1_rep2,,warm,4,60.0,2115.0,49.3,88.0,3733.0
warm_b1_rep2,,warm,5,60.0,2535.0,49.91,97.0,3733.0
warm_b1_rep2,,warm,6,61.0,2100.0,49.74,93.0,3733.0
warm_b1_rep2,,warm,7,61.0,2100.0,49.9,99.0,3733.0
warm_b1_rep2,,warm,8,61.0,2085.0,47.68,99.0,3733.0
warm_b1_rep2,,warm,9,61.0,2010.0,48.66,79.0,3733.0
warm_b1_rep2,,warm,10,61.0,2400.0,49.76,98.0,3733.0
warm_b1_rep2,,warm,11,61.0,2085.0,49.69,95.0,3733.0
warm_b2_limited,,warm,0,55.0,1335.0,33.98,100.0,7949.0
warm_b2_limited,,warm,1,55.0,1290.0,32.36,81.0,7949.0
warm_b2_limited,,warm,2,58.0,2520.0,41.91,100.0,7949.0
warm_b2_limited,,warm,3,56.0,2505.0,38.59,70.0,7949.0
