tag=opt3_scanchunkwise_b1024_T2048_L8 shape=T2048_L8 compiled=False
total saved bytes = 5.463 GiB over 451 tensors

shape                                     dtype    n        MiB
(1, 4, 2048, 4096)                     bfloat16   24     1536.0
(4, 4096, 1024)                        bfloat16   32     1024.0
(4, 1024, 4096)                        bfloat16   24      768.0
(1, 2048, 4, 4096)                     bfloat16    8      512.0
(2048, 16384)                          bfloat16    8      512.0
(1, 2048, 1, 2048)                     bfloat16   32      256.0
(4, 1024, 1024)                        bfloat16   16      128.0
(4, 4096, 256)                         bfloat16   16      128.0
(1, 2048, 256)                          float32   49       98.0
(256, 16384)                           bfloat16    8       64.0
(4, 1024, 256)                         bfloat16   32       64.0
(1, 4, 2048, 256)                       float32    8       64.0
(4, 256, 4096)                         bfloat16    8       64.0
(16384, 256)                           bfloat16    8       64.0
(1, 2048, 2048)                        bfloat16    8       64.0
(2048, 8192)                            float32    1       64.0
(1, 2048, 1040)                        bfloat16    8       32.5
(2048, 1040)                           bfloat16    8       32.5
(4, 2048, 256)                         bfloat16    8       32.0
(2048, 8192)                           bfloat16    1       32.0
(2048, 256)                            bfloat16   25       25.0
(1024, 1024)                               bool   16       16.0
(256, 1040)                            bfloat16    8        4.1
(1040, 256)                            bfloat16    8        4.1
(256, 8192)                            bfloat16    1        4.0
(256, 256)                             bfloat16    8        1.0
(1, 4, 2048, 1)                         float32   16        0.5
(1, 2048, 1)                            float32   42        0.3
(1, 2048)                                 int64    1        0.0
(2048,)                                   int64    1        0.0
(2048,)                                    bool    1        0.0
()                                      float32   17        0.0
