tag=opt3_scanchunkwise_b1024_T2048_L8_compiled shape=T2048_L8 compiled=True
total saved bytes = 2.578 GiB over 246 tensors

shape                                     dtype    n        MiB
(2048, 16384)                          bfloat16    8      512.0
(1, 2048, 4, 2048, 2)                  bfloat16    8      512.0
(4, 2048, 4096)                        bfloat16    8      512.0
(16384, 2048)                          bfloat16    8      512.0
(4, 1024, 1024)                        bfloat16   16      128.0
(4, 256, 4096)                         bfloat16    9       72.0
(2048, 8192)                            float32    1       64.0
(1, 2048, 256)                          float32   24       48.0
(4, 256, 1024)                         bfloat16   24       48.0
(1040, 2048)                           bfloat16    8       32.5
(1, 4, 2048, 256)                      bfloat16    8       32.0
(4, 256, 2048)                         bfloat16    8       32.0
(2048, 8192)                           bfloat16    1       32.0
(256, 2048)                            bfloat16   25       25.0
(1, 2048, 1040)                            bool    8       16.2
(1024, 1024)                               bool   16       16.0
(2048, 256)                            bfloat16    8        8.0
(2048, 2048)                           bfloat16    1        8.0
(256, 16384)                           bfloat16    1        8.0
(4, 4096, 256)                         bfloat16    1        8.0
(16384, 256)                           bfloat16    1        8.0
(8192, 256)                            bfloat16    1        4.0
(256, 1040)                            bfloat16    1        0.5
(1040, 256)                            bfloat16    1        0.5
(1, 4, 2048, 1)                         float32   16        0.5
(1, 2048, 1)                            float32   26        0.2
(256, 256)                             bfloat16    1        0.1
(1, 2048)                                 int64    1        0.0
(1, 2048)                                 int32    2        0.0
(2048,)                                   int64    1        0.0
(2048,)                                 float32    1        0.0
(2048,)                                    bool    1        0.0
()                                      float32    2        0.0
