tag=opt3_scanchunkwise_b1024_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   full         0.00%       0.000us         0.00%       0.000us       0.000us     193.557ms       104.17%     193.557ms     193.557ms             1                                                                                []  
## Call CompiledFxGraph fe2qjwtakmctpu4olcw5e4s65c6s...         0.00%       0.000us         0.00%       0.000us       0.000us     116.074ms        62.47%     116.074ms     116.074ms             1                                                                                []  
autograd::engine::evaluate_function: CompiledFunctio...         0.02%      34.726us         9.69%      21.572ms      21.572ms       0.000us         0.00%     115.045ms     115.045ms             1                                                                                []  
                               CompiledFunctionBackward         0.20%     444.777us         9.67%      21.537ms      21.537ms       0.000us         0.00%     115.045ms     115.045ms             1                                                                 [[1, 2048, 8192]]  
## Call CompiledFxGraph fe2qjwtakmctpu4olcw5e4s65c6s...         3.39%       7.538ms         9.47%      21.092ms      21.092ms       0.000us         0.00%     115.045ms     115.045ms             1                                                                                []  
                                                   full        11.56%      25.744ms        46.21%     102.884ms     102.884ms       0.000us         0.00%      69.520ms      69.520ms             1                                                                                []  
## Call CompiledFxGraph f774kz5m7unx3pw4wibmqohv3tfb...         0.00%       0.000us         0.00%       0.000us       0.000us      68.513ms        36.87%      68.513ms      68.513ms             1                                                                                []  
                             Torch-Compiled Region: 0/0         0.11%     246.873us         8.20%      18.259ms      18.259ms       0.000us         0.00%      65.778ms      65.778ms             1                                                                                []  
                             Torch-Compiled Region: 1/0         0.09%     205.536us         7.73%      17.220ms      17.220ms       0.000us         0.00%      65.722ms      65.722ms             1                                                                                []  
                                       CompiledFunction         0.12%     277.517us         7.62%      16.967ms      16.967ms       0.000us         0.00%      65.722ms      65.722ms             1  [[8192, 256], [1, 2048], [1, 2048, 2048], [4, 256, 4096], [1, 2048], [2048], [4,  
## Call CompiledFxGraph f774kz5m7unx3pw4wibmqohv3tfb...         3.19%       7.100ms         7.49%      16.677ms      16.677ms       0.000us         0.00%      65.722ms      65.722ms             1                                                                                []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      28.693ms        15.44%      28.693ms     512.369us            56                                                                                []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      25.879ms        13.93%      25.879ms     462.121us            56                                                                                []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      23.025ms        12.39%      23.025ms     959.360us            24                                                                                []  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      19.698ms        10.60%      19.698ms     303.044us            65                                                                                []  
                                              aten::bmm         0.11%     253.275us         0.18%     404.869us      25.304us      18.504ms         9.96%      18.504ms       1.156ms            16                               [[4, 1024, 4096], [4, 4096, 1024], [4, 1024, 1024]]  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      17.925ms         9.65%      17.925ms     365.824us            49                                                                                []  
                                              aten::bmm         0.14%     308.859us         0.23%     517.607us      32.350us      17.895ms         9.63%      17.895ms       1.118ms            16                               [[4, 1024, 1024], [4, 1024, 4096], [4, 1024, 4096]]  
                                              aten::bmm         0.15%     334.551us         0.26%     572.529us      35.783us      17.730ms         9.54%      17.730ms       1.108ms            16                               [[4, 4096, 1024], [4, 1024, 1024], [4, 4096, 1024]]  
                                               aten::mm         0.23%     513.632us         0.43%     947.150us      59.197us      11.522ms         6.20%      11.522ms     720.116us            16                                        [[2048, 16384], [16384, 256], [2048, 256]]  
triton_poi_fused__to_copy_add_cos_masked_fill_mul_ne...         0.11%     246.243us         0.16%     357.100us      44.637us      11.495ms         6.19%      11.495ms       1.437ms             8  [[1, 2048, 4, 4096], [1, 2048, 4, 4096], [2048, 16384], [1, 4, 2048, 4096], [1,   
triton_poi_fused__to_copy_add_cos_masked_fill_mul_ne...         0.00%       0.000us         0.00%       0.000us       0.000us      11.495ms         6.19%      11.495ms       1.437ms             8                                                                                []  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      10.700ms         5.76%      10.700ms     260.974us            41                                                                                []  
