tag=opt3_scanchunkwise_b512_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
## Call CompiledFxGraph f2qjapiyvbmow566qojfth556w5r...         0.00%       0.000us         0.00%       0.000us       0.000us      56.605ms       103.10%      56.605ms      56.605ms             1                                                                                []  
                                                    fwd         1.65%       1.030ms        58.74%      36.602ms      36.602ms       0.000us         0.00%      54.905ms      54.905ms             1                                                                                []  
                             Torch-Compiled Region: 0/0         0.43%     267.123us        56.92%      35.466ms      35.466ms       0.000us         0.00%      54.905ms      54.905ms             1                                                                                []  
                             Torch-Compiled Region: 1/1         0.36%     222.489us        49.07%      30.576ms      30.576ms       0.000us         0.00%      54.851ms      54.851ms             1                                                                                []  
                                       CompiledFunction         1.02%     638.263us        48.65%      30.312ms      30.312ms       0.000us         0.00%      54.851ms      54.851ms             1  [[8192, 256], [1, 2048], [1, 2048, 2048], [4, 256, 4096], [1, 2048], [2048], [51  
## Call CompiledFxGraph f2qjapiyvbmow566qojfth556w5r...        20.74%      12.924ms        47.60%      29.656ms      29.656ms       0.000us         0.00%      54.851ms      54.851ms             1                                                                                []  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      16.740ms        30.49%      16.740ms     206.666us            81                                                                                []  
                                              aten::bmm         1.20%     748.226us         1.90%       1.186ms      37.055us       9.043ms        16.47%       9.043ms     282.582us            32                                   [[4, 512, 4096], [4, 4096, 512], [4, 512, 512]]  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       9.043ms        16.47%       9.043ms     282.582us            32                                                                                []  
              triton_poi_fused_mul_permute_relu_view_18         0.34%     210.221us         0.67%     420.128us      52.516us       7.190ms        13.10%       7.190ms     898.730us             8                          [[2048, 16384], [4, 2048, 4096], [1, 4, 2048, 4096], []]  
              triton_poi_fused_mul_permute_relu_view_18         0.00%       0.000us         0.00%       0.000us       0.000us       7.190ms        13.10%       7.190ms     898.730us             8                                                                                []  
                                              aten::bmm         1.55%     965.694us         3.45%       2.147ms      67.097us       5.565ms        10.14%       5.565ms     173.915us            32                                   [[4, 512, 4096], [4, 4096, 256], [4, 512, 256]]  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       5.565ms        10.14%       5.565ms     173.915us            32                                                                                []  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.41%     258.518us         0.84%     520.498us      65.062us       5.407ms         9.85%       5.407ms     675.837us             8                     [[2048, 16384], [1, 2048], [2048], [1, 2048, 4, 2048, 2], []]  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.00%       0.000us         0.00%       0.000us       0.000us       5.407ms         9.85%       5.407ms     675.837us             8                                                                                []  
                                               aten::mm         0.24%     148.351us         0.48%     301.981us      37.748us       4.759ms         8.67%       4.759ms     594.823us             8                                        [[2048, 256], [256, 16384], [2048, 16384]]  
                                              aten::bmm         0.63%     391.111us         1.09%     679.813us      84.977us       4.755ms         8.66%       4.755ms     594.348us             8                                 [[4, 2048, 256], [4, 256, 4096], [4, 2048, 4096]]  
    triton_poi_fused_mul_permute_relu_transpose_view_19         0.29%     180.023us         0.55%     341.685us      42.711us       4.716ms         8.59%       4.716ms     589.454us             8                                           [[1, 4, 2048, 4096], [2048, 16384], []]  
    triton_poi_fused_mul_permute_relu_transpose_view_19         0.00%       0.000us         0.00%       0.000us       0.000us       4.716ms         8.59%       4.716ms     589.454us             8                                                                                []  
                                               aten::mm         0.62%     385.713us         1.40%     872.866us     109.108us       4.715ms         8.59%       4.715ms     589.314us             8                                        [[2048, 16384], [16384, 256], [2048, 256]]  
                                              aten::bmm         0.54%     334.164us         1.24%     772.625us      32.193us       3.832ms         6.98%       3.832ms     159.657us            24                                   [[4, 4096, 512], [4, 512, 256], [4, 4096, 256]]  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       3.832ms         6.98%       3.832ms     159.657us            24                                                                                []  
                                              aten::bmm         1.25%     777.146us         1.94%       1.211ms      37.857us     928.570us         1.69%     928.570us      29.018us            32                                     [[4, 512, 512], [4, 512, 256], [4, 512, 256]]  
